L,phi,psi,omega,d,theta,rg,re,R
10,-180.0,-180.0,180,-3.66899869102,180.0,268.863446862,32.794112085,0.0
10,-180.0,-179.0,180,-3.66897174678,179.101591046,268.85592179,32.793595872,0.00137470536723
10,-180.0,-178.0,180,-3.66889090122,178.203195289,268.83334784,32.7920479057,0.00274937215165
10,-180.0,-177.0,180,-3.66875611575,177.30482593,268.795728895,32.7894702121,0.00412407751888
10,-180.0,-176.0,180,-3.66856732604,176.406496187,268.743071283,32.785866137,0.0054987828861
10,-180.0,-175.0,180,-3.66832444194,175.508219292,268.675383547,32.7812403139,0.00687348825333
10,-180.0,-174.0,180,-3.6680273474,174.610008506,268.592676382,32.775598623,0.00824819362056
10,-180.0,-173.0,180,-3.66767590037,173.711877119,268.494962322,32.768948138,0.00962289898778
10,-180.0,-172.0,180,-3.66726993265,172.813838461,268.38225531,32.7612970174,0.0111940294188
10,-180.0,-171.0,180,-3.66680924978,171.915905905,268.254570067,32.7526544376,0.0125687347861
10,-180.0,-170.0,180,-3.66629363082,171.018092876,268.111922011,32.7430304798,0.0139434401533
10,-180.0,-169.0,180,-3.66572282815,170.120412855,267.954326813,32.7324360545,0.0153181455205
10,-180.0,-168.0,180,-3.66509656727,169.222879388,267.781799093,32.7208826841,0.0166928508878
10,-180.0,-167.0,180,-3.66441454654,168.325506091,267.594352235,32.708382399,0.018067556255
10,-180.0,-166.0,180,-3.66367643688,167.428306657,267.391998119,32.6949476483,0.0194422616222
10,-180.0,-165.0,180,-3.66288188148,166.531294865,267.174745297,32.6805909935,0.0208169669894
10,-180.0,-164.0,180,-3.66203049548,165.634484581,266.942599335,32.6653250386,0.0221916337739
10,-180.0,-163.0,180,-3.66112186562,164.737889772,266.695561092,32.6491621609,0.0235663391411
10,-180.0,-162.0,180,-3.66015554982,163.841524508,266.433626286,32.6321143556,0.0249410445083
10,-180.0,-161.0,180,-3.65913107681,162.945402972,266.156784568,32.6141929932,0.0263157498755
10,-180.0,-160.0,180,-3.65804794565,162.049539466,265.865018835,32.5954086298,0.0276904552428
10,-180.0,-159.0,180,-3.65690562533,161.153948416,265.558303692,32.5757707401,0.02906516061
10,-180.0,-158.0,180,-3.65570355419,160.258644385,265.236605559,32.5552875843,0.0306362910411
10,-180.0,-157.0,180,-3.65444113944,159.363642076,264.89988064,32.5339658003,0.0320109964083
10,-180.0,-156.0,180,-3.65311775661,158.468956339,264.548075659,32.51181045,0.0333857017755
10,-180.0,-155.0,180,-3.65173274893,157.574602185,264.181124711,32.488824531,0.0347604071427
10,-180.0,-154.0,180,-3.65028542673,156.680594786,263.798951486,32.4650089545,0.03613511251
10,-180.0,-153.0,180,-3.64877506677,155.786949489,263.401466473,32.4403623122,0.0375098178772
10,-180.0,-152.0,180,-3.64720091158,154.893681822,262.988567155,32.4148806463,0.0388845232444
10,-180.0,-151.0,180,-3.64556216867,154.000807502,262.560137296,32.3885573211,0.0402592286117
10,-180.0,-150.0,180,-3.64385800987,153.108342446,262.116047469,32.3613828959,0.0416338953961
