L,phi,psi,omega,d,theta,rg,re,R,R2
32,-180.0,-180.0,180,-3.6689986910199712,180.0,56.449712258588875,112.89942451717778,0.0,0.0
32,-180.0,-179.0,180,-3.6689717467837255,179.10159104608343,56.44892968867075,112.89762871825432,0.00137470536723,0.001388888888888889
32,-180.0,-178.0,180,-3.6688909012197315,178.20319528864312,56.44658314791486,112.89228511357038,0.00274937215165,0.002777777777777778
32,-180.0,-177.0,180,-3.66875611575051,177.30482593045207,56.442675878083335,112.88351717673669,0.00412407751888,0.004166666666666667
32,-180.0,-176.0,180,-3.6685673260412033,176.406496186882,56.43721244388538,112.87150572349748,0.0054987828861,0.005555555555555556
32,-180.0,-175.0,180,-3.66832444194092,175.50821929221743,56.43019765252196,112.85645617483422,0.00687348825333,0.006944444444444444
32,-180.0,-174.0,180,-3.6680273474005234,174.61000850598646,56.42163526576195,112.83856087912118,0.00824819362056,0.008333333333333333
32,-180.0,-173.0,180,-3.667675900366731,173.71187711931512,56.41152685155892,112.8179635646913,0.00962289898778,0.009722222222222222
32,-180.0,-172.0,180,-3.66726993265239,172.81383846131,56.39987088929532,112.79473191860704,0.0111940294188,0.011111111111111112
32,-180.0,-171.0,180,-3.66680924978276,171.9159059054761,56.38666239688375,112.76884357045861,0.0125687347861,0.0125
32,-180.0,-170.0,180,-3.666293630817577,171.01809287617493,56.37189292933049,112.74018742691493,0.0139434401533,0.013888888888888888
32,-180.0,-169.0,180,-3.665722828148685,170.1204128551292,56.35555137270756,112.70858148755092,0.0153181455205,0.015277777777777777
32,-180.0,-168.0,180,-3.6650965672729354,169.22287938798033,56.337624877789835,112.67380237301272,0.0166928508878,0.016666666666666666
32,-180.0,-167.0,180,-3.6644145465400633,168.32550609090438,56.31810012813364,112.63562330224994,0.018067556255,0.018055555555555554
32,-180.0,-166.0,180,-3.6636764368751926,167.4283066572929,56.29696464471272,112.59385251879387,0.0194422616222,0.019444444444444445
32,-180.0,-165.0,180,-3.6628818814755966,166.53129486450473,56.2742078243073,112.54836603839892,0.0208169669894,0.020833333333333332
32,-180.0,-164.0,180,-3.662030495481295,165.6344845806958,56.24982145844819,112.49912831507038,0.0221916337739,0.022222222222222223
32,-180.0,-163.0,180,-3.661121865619057,164.73788977173186,56.223799816865316,112.4461974069476,0.0235663391411,0.02361111111111111
32,-180.0,-162.0,180,-3.6601555498193115,163.84152450819263,56.19613911164009,112.38971302751698,0.0249410445083,0.025
32,-180.0,-161.0,180,-3.659131076805435,162.94540297247272,56.16683650010908,112.32986961311552,0.0263157498755,0.02638888888888889
32,-180.0,-160.0,180,-3.6580479456548964,162.0495394659864,56.135888774420636,112.26687864439342,0.0276904552428,0.027777777777777776
32,-180.0,-159.0,180,-3.656905625331608,161.1539484164837,56.10329091229185,112.20092696308,0.02906516061,0.029166666666666667
32,-180.0,-158.0,180,-3.655703554188889,160.25864438548425,56.06903492996523,112.13213835322877,0.0306362910411,0.030555555555555555
32,-180.0,-157.0,180,-3.654441139442333,159.36364207583694,56.033109057589265,112.06054511003406,0.0320109964083,0.03194444444444444
32,-180.0,-156.0,180,-3.653117756611876,158.46895633941176,55.99549742527494,111.98607553403203,0.0333857017755,0.03333333333333333
32,-180.0,-155.0,180,-3.651732748932296,157.57460218493298,55.956180640096754,111.90855937976585,0.0347604071427,0.034722222222222224
32,-180.0,-154.0,180,-3.650285426731323,156.6805947859597,55.91513645106875,111.82775064200008,0.03613511251,0.03611111111111111
